0.0, 4.6, 42.9, 103.0, 230.7, 342.3, 518.4, 701.8, 902.4
0.0, 3.5, 43.2, 132.2, 191.3, 393.5, 462.2, 648.5, 829.7
0.0, 8.6, 33.3, 104.8, 192.5, 340.8, 530.7, 693.2, 982.5
0.0, 4.3, 25.2, 105.0, 214.7, 372.6, 550.5, 751.8, 962.5
0.0, 4.2, 38.1, 82.6, 244.9, 330.7, 530.8, 684.5, 886.0
0.0, 8.2, 42.8, 96.6, 208.7, 346.0, 468.4, 758.2, 975.4
0.0, 4.1, 38.9, 93.3, 209.3, 347.9, 515.0, 654.9, 894.6
0.0, 4.1, 28.8, 99.2, 214.1, 303.2, 484.5, 726.9, 885.2
0.0, 1.9, 47.7, 122.5, 225.3, 309.5, 554.2, 663.0, 902.7
0.0, 0.7, 28.7, 121.6, 207.0, 350.5, 486.4, 724.6, 969.5
0.0, 6.4, 27.6, 100.7, 209.4, 366.1, 490.5, 731.8, 965.1
0.0, 2.3, 30.7, 120.3, 232.9, 323.7, 516.3, 655.1, 886.6
0.0, 5.2, 47.2, 114.4, 210.7, 346.4, 485.9, 695.5, 943.5
0.0, 2.9, 47.3, 125.3, 202.7, 314.7, 487.9, 626.9, 849.6
0.0, 3.1, 29.6, 112.1, 220.3, 351.8, 503.1, 655.0, 907.3
0.0, 3.5, 34.5, 107.2, 169.9, 343.1, 491.8, 701.9, 952.5
0.0, 0.9, 57.0, 87.3, 221.7, 345.1, 523.3, 755.1, 860.0
0.0, 2.6, 37.8, 124.3, 218.3, 348.3, 539.7, 725.0, 933.6
0.0, 2.4, 41.0, 107.9, 200.2, 304.2, 475.6, 665.0, 901.5
0.0, 2.0, 47.4, 124.3, 200.4, 313.9, 475.0, 700.4, 838.5
0.0, 2.9, 26.6, 110.9, 190.9, 385.9, 499.2, 683.4, 902.3
0.0, 4.0, 44.3, 125.7, 251.5, 367.6, 510.3, 669.4, 986.5
0.0, 2.9, 42.8, 106.7, 181.1, 347.7, 478.1, 663.8, 873.2
0.0, 5.6, 39.1, 107.3, 201.7, 345.7, 503.6, 752.5, 930.5
0.0, 5.5, 31.5, 99.0, 239.7, 384.3, 494.2, 679.5, 861.9
0.0, 4.8, 41.4, 103.0, 218.1, 359.9, 515.1, 754.5, 874.7
0.0, 3.0, 47.2, 127.8, 209.7, 337.0, 512.9, 704.3, 869.5
0.0, 5.9, 36.3, 103.2, 204.9, 335.8, 531.3, 649.1, 854.9
0.0, 4.2, 37.1, 82.1, 220.0, 352.8, 490.3, 703.6, 912.4
